# Thread/Task Symbol Analysis

## vtable for _IOConfigThread


VM Address: 0xfffffff007e1ee50
File Offset: 0x-eff1e11b0

## _Xtask_get_exception_ports_info

VM Address: 0xfffffff007e1ef14
File Offset: 0x-eff1e10ec

## _Xtask_dyld_process_info_notify_deregister

VM Address: 0xfffffff007e1f0f0
File Offset: 0x-eff1e0f10

## _Xtask_identity_token_get_task_port

VM Address: 0xfffffff007e1f1a4
File Offset: 0x-eff1e0e5c

## _Xtask_create_identity_token

VM Address: 0xfffffff007e1f254
File Offset: 0x-eff1e0dac

## _Xtask_dyld_process_info_notify_register

VM Address: 0xfffffff007e1f378
File Offset: 0x-eff1e0c88

## _Xmach_task_is_self

VM Address: 0xfffffff007e1f450
File Offset: 0x-eff1e0bb0

## _Xtask_set_exc_guard_behavior

VM Address: 0xfffffff007e1f530
File Offset: 0x-eff1e0ad0

## _Xtask_get_exc_guard_behavior

VM Address: 0xfffffff007e1f604
File Offset: 0x-eff1e09fc

## _Xtask_inspect

VM Address: 0xfffffff007e1f6cc
File Offset: 0x-eff1e0934

## _Xtask_map_corpse_info_64

VM Address: 0xfffffff007e1f824
File Offset: 0x-eff1e07dc

## _Xtask_register_dyld_get_process_state

VM Address: 0xfffffff007e1f97c
File Offset: 0x-eff1e0684

## _Xtask_register_dyld_set_dyld_state

VM Address: 0xfffffff007e1fa38
File Offset: 0x-eff1e05c8

## _Xtask_register_dyld_shared_cache_image_info

VM Address: 0xfffffff007e1fad8
File Offset: 0x-eff1e0528

## _Xtask_get_dyld_image_infos

VM Address: 0xfffffff007e1fbd4
File Offset: 0x-eff1e042c

## _Xtask_unregister_dyld_image_infos

VM Address: 0xfffffff007e1fc74
File Offset: 0x-eff1e038c

## _Xtask_register_dyld_image_infos

VM Address: 0xfffffff007e1fd80
File Offset: 0x-eff1e0280

## _Xtask_map_corpse_info

VM Address: 0xfffffff007e1fe8c
File Offset: 0x-eff1e0174

## _Xtask_generate_corpse

VM Address: 0xfffffff007e20004
File Offset: 0x-eff1dfffc

## _Xtask_swap_mach_voucher

VM Address: 0xfffffff007e200e4
File Offset: 0x-eff1dff1c

## _Xtask_set_mach_voucher

VM Address: 0xfffffff007e2023c
File Offset: 0x-eff1dfdc4

## _Xtask_get_mach_voucher

VM Address: 0xfffffff007e20368
File Offset: 0x-eff1dfc98

## _Xtask_purgable_info

VM Address: 0xfffffff007e20434
File Offset: 0x-eff1dfbcc

## _Xtask_resume2_mig

VM Address: 0xfffffff007e20508
File Offset: 0x-eff1dfaf8

## _Xtask_suspend2_mig

VM Address: 0xfffffff007e20568
File Offset: 0x-eff1dfa98

## _Xtask_set_phys_footprint_limit

VM Address: 0xfffffff007e2065c
File Offset: 0x-eff1df9a4

## _Xtask_set_state

VM Address: 0xfffffff007e20760
File Offset: 0x-eff1df8a0

## _Xtask_get_state

VM Address: 0xfffffff007e20840
File Offset: 0x-eff1df7c0

## _Xtask_policy_get

VM Address: 0xfffffff007e2094c
File Offset: 0x-eff1df6b4

## _Xtask_policy_set

VM Address: 0xfffffff007e20a60
File Offset: 0x-eff1df5a0

## _Xtask_swap_exception_ports

VM Address: 0xfffffff007e20d30
File Offset: 0x-eff1df2d0

## _Xtask_get_exception_ports_from_user

VM Address: 0xfffffff007e21060
File Offset: 0x-eff1defa0

## _Xtask_set_exception_ports

VM Address: 0xfffffff007e21334
File Offset: 0x-eff1deccc

## _Xthread_create_running_from_user

VM Address: 0xfffffff007e21418
File Offset: 0x-eff1debe8

## _Xthread_create_from_user

VM Address: 0xfffffff007e21558
File Offset: 0x-eff1deaa8

## _Xtask_set_special_port_from_user

VM Address: 0xfffffff007e21660
File Offset: 0x-eff1de9a0

## _Xtask_get_special_port_from_user

VM Address: 0xfffffff007e21740
File Offset: 0x-eff1de8c0

## _Xtask_resume

VM Address: 0xfffffff007e217cc
File Offset: 0x-eff1de834

## _Xtask_suspend

VM Address: 0xfffffff007e21870
File Offset: 0x-eff1de790

## _Xtask_set_info

VM Address: 0xfffffff007e21914
File Offset: 0x-eff1de6ec

## _Xtask_info_from_user

VM Address: 0xfffffff007e219f8
File Offset: 0x-eff1de608

## _Xtask_threads_from_user

VM Address: 0xfffffff007e21c94
File Offset: 0x-eff1de36c

## _Xtask_terminate

VM Address: 0xfffffff007e21d3c
File Offset: 0x-eff1de2c4

## task_server_routine

VM Address: 0xfffffff007e21e00
File Offset: 0x-eff1de200

## _Xthread_get_exception_ports_info

VM Address: 0xfffffff007e21e34
File Offset: 0x-eff1de1cc

## _Xthread_convert_thread_state

VM Address: 0xfffffff007e22010
File Offset: 0x-eff1ddff0

## _Xthread_swap_mach_voucher

VM Address: 0xfffffff007e22144
File Offset: 0x-eff1ddebc

## _Xthread_set_mach_voucher

VM Address: 0xfffffff007e22290
File Offset: 0x-eff1ddd70

## _Xthread_get_mach_voucher

VM Address: 0xfffffff007e223bc
File Offset: 0x-eff1ddc44

## _Xthread_set_policy

VM Address: 0xfffffff007e224a4
File Offset: 0x-eff1ddb5c

## _Xthread_policy_get

VM Address: 0xfffffff007e225e8
File Offset: 0x-eff1dda18

## _Xthread_policy_set

VM Address: 0xfffffff007e226fc
File Offset: 0x-eff1dd904

## _Xthread_policy

VM Address: 0xfffffff007e227cc
File Offset: 0x-eff1dd834

## _Xthread_swap_exception_ports

VM Address: 0xfffffff007e228a4
File Offset: 0x-eff1dd75c

## _Xthread_get_exception_ports_from_user

VM Address: 0xfffffff007e22bc8
File Offset: 0x-eff1dd438

## _Xthread_set_exception_ports

VM Address: 0xfffffff007e22e9c
File Offset: 0x-eff1dd164

## _Xthread_info

VM Address: 0xfffffff007e22f70
File Offset: 0x-eff1dd090

## _Xthread_set_special_port

VM Address: 0xfffffff007e23070
File Offset: 0x-eff1dcf90

## _Xthread_get_special_port_from_user

VM Address: 0xfffffff007e23170
File Offset: 0x-eff1dce90

## _Xthread_depress_abort_from_user

VM Address: 0xfffffff007e231fc
File Offset: 0x-eff1dce04

## _Xthread_abort_safely

VM Address: 0xfffffff007e23290
File Offset: 0x-eff1dcd70

## _Xthread_abort

VM Address: 0xfffffff007e23324
File Offset: 0x-eff1dccdc

## _Xthread_resume

VM Address: 0xfffffff007e233b8
File Offset: 0x-eff1dcc48

## _Xthread_suspend

VM Address: 0xfffffff007e2344c
File Offset: 0x-eff1dcbb4

## _Xthread_set_state_from_user

VM Address: 0xfffffff007e234e0
File Offset: 0x-eff1dcb20

## _Xthread_get_state_to_user

VM Address: 0xfffffff007e235bc
File Offset: 0x-eff1dca44

## _Xthread_terminate_from_user

VM Address: 0xfffffff007e238d4
File Offset: 0x-eff1dc72c

## thread_act_server_routine

VM Address: 0xfffffff007e23968
File Offset: 0x-eff1dc698

## _X_task_wire

VM Address: 0xfffffff007e24400
File Offset: 0x-eff1dbc00

## _Xio_connect_unmap_memory_from_task

VM Address: 0xfffffff007e9adf4
File Offset: 0x-eff16520c

## _Xio_connect_map_memory_into_task

VM Address: 0xfffffff007e9af34
File Offset: 0x-eff1650cc

## __pthread_fchdir

VM Address: 0xfffffff007f1cc90
File Offset: 0x-eff0e3370

## __pthread_chdir

VM Address: 0xfffffff007f1cfc0
File Offset: 0x-eff0e3040

## bsdthread_create

VM Address: 0xfffffff008172e94
File Offset: 0x-efee8d16c

## bsdthread_register

VM Address: 0xfffffff008172ec0
File Offset: 0x-efee8d140

## bsdthread_terminate

VM Address: 0xfffffff008172f74
File Offset: 0x-efee8d08c

## thread_selfid

VM Address: 0xfffffff008173040
File Offset: 0x-efee8cfc0

## bsdthread_ctl

VM Address: 0xfffffff008177b4c
File Offset: 0x-efee884b4

## thread_selfusage

VM Address: 0xfffffff0081cdebc
File Offset: 0x-efee32144

## __disable_threadsignal

VM Address: 0xfffffff0081d0714
File Offset: 0x-efee2f8ec

## __pthread_markcancel

VM Address: 0xfffffff0081d0734
File Offset: 0x-efee2f8cc

## __pthread_canceled

VM Address: 0xfffffff0081d07cc
File Offset: 0x-efee2f834

## __pthread_kill

VM Address: 0xfffffff0081d0a64
File Offset: 0x-efee2f59c

## __pthread_sigmask

VM Address: 0xfffffff0081d1b4c
File Offset: 0x-efee2e4b4

## thread_selfcounts

VM Address: 0xfffffff008259f24
File Offset: 0x-efeda60dc

## pid_for_task_trap

VM Address: 0xfffffff0082621c4
File Offset: 0x-efed9de3c

## task_for_pid_trap

VM Address: 0xfffffff008262298
File Offset: 0x-efed9dd68

## task_name_for_pid_trap

VM Address: 0xfffffff0082626d4
File Offset: 0x-efed9d92c

## task_inspect_for_pid

VM Address: 0xfffffff0082629fc
File Offset: 0x-efed9d604

## task_read_for_pid

VM Address: 0xfffffff008262ce8
File Offset: 0x-efed9d318

## _IOConfigThread::_IOConfigThread

VM Address: 0xfffffff008383c0c
File Offset: 0x-efec7c3f4

## IOGPUTask::IOGPUTask

VM Address: 0xfffffff009885c30
File Offset: 0x-efd77a3d0

## SCSITask::SCSITask

VM Address: 0xfffffff009a396b0
File Offset: 0x-efd5c6950

## _IOConfigThread::gMetaClass

VM Address: 0xfffffff00a218a30
File Offset: 0x-efcde75d0

## IOGPUTask::gMetaClass

VM Address: 0xfffffff00a3940b8
File Offset: 0x-efcc6bf48

## SCSITask::gMetaClass

VM Address: 0xfffffff00a3b7510
File Offset: 0x-efcc48af0

